"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Jose\Videos\Hoja6\GPC\MathLib.py", "Python", 196, 0, 4, 60, 260
"c:\Users\Jose\Videos\Hoja6\GPC\README.md", "Markdown", 0, 88, 0, 20, 108
"c:\Users\Jose\Videos\Hoja6\GPC\Raytracer2024.py", "Python", 72, 0, 23, 28, 123
"c:\Users\Jose\Videos\Hoja6\GPC\camera.py", "Python", 14, 0, 1, 5, 20
"c:\Users\Jose\Videos\Hoja6\GPC\figures.py", "Python", 243, 0, 23, 79, 345
"c:\Users\Jose\Videos\Hoja6\GPC\gl.py", "Python", 126, 0, 13, 59, 198
"c:\Users\Jose\Videos\Hoja6\GPC\intercept.py", "Python", 8, 0, 0, 1, 9
"c:\Users\Jose\Videos\Hoja6\GPC\lights.py", "Python", 103, 0, 3, 32, 138
"c:\Users\Jose\Videos\Hoja6\GPC\material.py", "Python", 71, 0, 9, 20, 100
"c:\Users\Jose\Videos\Hoja6\GPC\model.py", "Python", 29, 0, 0, 13, 42
"c:\Users\Jose\Videos\Hoja6\GPC\obj.py", "Python", 30, 0, 5, 10, 45
"c:\Users\Jose\Videos\Hoja6\GPC\texture.py", "Python", 24, 0, 0, 19, 43
"Total", "-", 916, 88, 81, 346, 1431